Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.60955,0.54545456,1,7487,1367,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,94,250,4,r1
 , , , , , , ,d1,248,466,2,r1
 , , , , , , ,d2,1333,538,2,r2
 , , , , , , ,d3,865,466,3,r2
,,,,,,,,,,,
,,,,,,,,,,,
2,2.505898,0.7777778,2,8104,873,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,557,250,2,r1
 , , , , , , ,d1,1333,538,3,r1
 , , , , , , ,d2,1019,466,3,r1
 , , , , , , ,d3,865,538,1,r2
,,,,,,,,,,,
,,,,,,,,,,,
3,2.106949,0.8333333,1,5975,1280,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,557,538,3,r1
 , , , , , , ,d1,557,538,4,r1
 , , , , , , ,d2,1333,538,3,r2
 , , , , , , ,d3,94,538,2,r1
 , , , , , , ,d4,557,538,3,r1
 , , , , , , ,d5,557,610,3,r1
,,,,,,,,,,,
,,,,,,,,,,,
4,2.4101722,0.9375,2,10784,1385,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,1019,250,3,r1
 , , , , , , ,d1,248,106,1,r1
 , , , , , , ,d2,1179,178,3,r1
 , , , , , , ,d3,1019,466,4,r1
 , , , , , , ,d4,1019,538,3,r1
 , , , , , , ,d5,865,394,2,r1
,,,,,,,,,,,
,,,,,,,,,,,
5,3.7879012,1,2,6560,1312,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,1333,394,2,r2
 , , , , , , ,d1,1333,106,2,r1
 , , , , , , ,d2,1333,178,3,r1
,,,,,,,,,,,
,,,,,,,,,,,
6,2.408319,1,2,4144,1440,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,1019,538,4,r1
,,,,,,,,,,,
,,,,,,,,,,,
7,1.8027756,1,2,2777,1145,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,1179,106,3,r1
,,,,,,,,,,,
,,,,,,,,,,,
8,2.8277347,0.7368421,1,9887,1583,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,1333,178,2,r2
 , , , , , , ,d1,557,466,4,r1
 , , , , , , ,d2,1333,538,3,r1
 , , , , , , ,d3,403,250,2,r1
 , , , , , , ,d4,557,178,2,r1
 , , , , , , ,d5,248,322,3,r1
 , , , , , , ,d6,403,538,3,r1
,,,,,,,,,,,
,,,,,,,,,,,
9,2.9613328,0.72727275,1,7688,1225,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,248,610,4,r1
 , , , , , , ,d1,1333,178,1,r2
 , , , , , , ,d2,865,538,2,r1
 , , , , , , ,d3,94,394,3,r1
 , , , , , , ,d4,557,538,1,r1
,,,,,,,,,,,
,,,,,,,,,,,
10,1.9447536,0.8,2,13057,2097,,,,,,
 , , , , , ,r1, ,282,435,,
 , , , , , ,r2, ,1213,435,,
 , , , , , , ,d0,865,322,2,r2
 , , , , , , ,d1,1333,610,1,r2
 , , , , , , ,d2,1019,250,3,r1
 , , , , , , ,d3,403,610,3,r1
 , , , , , , ,d4,865,682,1,r2
 , , , , , , ,d5,865,394,1,r2
 , , , , , , ,d6,1019,610,4,r1
