InitialConditions65
incident_index,IPP_lat,IPP_lon,find_lat,find_lon
1,31.3970833500000,-111.206430000000,31.4063330000000,-111.196830000000
2,31.4290333400000,-110.293280000000,31.4295170000000,-110.304120000000
3,31.5057166700000,-110.676220000000,31.5100000000000,-110.653330000000
4,31.7226166400000,-110.187830000000,31.7417670000000,-110.191780000000
5,31.8352166500000,-110.356700000000,31.8622670000000,-110.396550000000
6,31.9024000200000,-109.278470000000,31.8395000000000,-109.276670000000
7,31.9224500000000,-109.967320000000,31.9214830000000,-110.033580000000
8,32.0123666700000,-109.315720000000,31.9993500000000,-109.307800000000
9,32.3333333300000,-110.852830000000,32.3715000000000,-110.864670000000
10,32.3358333300000,-110.910170000000,32.3665000000000,-110.880170000000
11,32.3369999900000,-110.916670000000,32.3598330000000,-110.897670000000
12,32.4091666500000,-110.709830000000,32.4008330000000,-110.692330000000
13,32.4197666800000,-110.747330000000,32.3655000000000,-110.775830000000
14,32.4354333200000,-110.789330000000,32.4288330000000,-110.794330000000
15,32.8214166600000,-111.202120000000,32.8246670000000,-111.227170000000
16,33.3705500000000,-111.115220000000,33.3752830000000,-111.089180000000
17,33.3888499900000,-111.365650000000,33.4012000000000,-111.375170000000
18,33.3968000100000,-111.348050000000,33.4215000000000,-111.360500000000
19,33.3970500000000,-111.347870000000,33.4093330000000,-111.317170000000
20,33.3973333400000,-111.348000000000,33.4416670000000,-111.367670000000
21,33.3975000100000,-111.347830000000,33.4156670000000,-111.365000000000
22,33.4780166600000,-111.437670000000,33.4156670000000,-111.364780000000
23,33.6039833100000,-112.515120000000,33.5903330000000,-112.522830000000
24,33.7054166800000,-111.338050000000,33.6791500000000,-111.316950000000
25,34.0927000000000,-111.424650000000,34.0687670000000,-111.435920000000
26,34.0927833300000,-111.420980000000,34.1023330000000,-111.490330000000
27,34.5500000000000,-111.633330000000,34.5500000000000,-111.616670000000
28,34.5597666400000,-111.653950000000,34.5400670000000,-111.703480000000
29,34.6000000000000,-112.550000000000,34.6333330000000,-112.633330000000
30,34.6304166800000,-112.555300000000,34.6272330000000,-112.545770000000
31,34.8216666500000,-111.806670000000,34.8183330000000,-111.798330000000
32,34.8238666500000,-111.775130000000,34.8316670000000,-111.743000000000
33,34.8666666700000,-111.883330000000,34.8666670000000,-111.800000000000
34,34.8868333200000,-111.784000000000,34.9026670000000,-111.786830000000
35,34.8933333100000,-111.863330000000,34.9066670000000,-111.876030000000
36,34.9028666800000,-111.813130000000,34.8918330000000,-111.804820000000
37,34.9166666700000,-111.800000000000,34.9666670000000,-111.866670000000
38,34.9253000300000,-111.734100000000,34.8973330000000,-111.741170000000
39,34.9786833400000,-111.896430000000,34.9468330000000,-111.889670000000
40,35.1938000000000,-114.057030000000,35.2087170000000,-114.131950000000
41,35.2437500000000,-111.599670000000,35.2325170000000,-111.601500000000
42,35.3306833300000,-111.711080000000,35.3342330000000,-111.697500000000
43,36.2387833300000,-112.689200000000,36.2464330000000,-112.700080000000
44,41.5481900000000,-80.3305600000000,41.5900600000000,-80.3264700000000
45,42.0097000000000,-74.4259500000000,42.0354400000000,-74.3556500000000
46,42.0289300000000,-74.3365900000000,42.0290200000000,-74.3519100000000
47,42.1796500000000,-74.2136200000000,42.1834500000000,-74.1958500000000
48,42.3173500000000,-76.4779100000000,42.3027100000000,-76.4897600000000
49,42.3443200000000,-77.4763800000000,42.3607700000000,-77.4859300000000
50,42.7427100000000,-73.4547500000000,42.7516300000000,-73.4625900000000
51,43.0690200000000,-74.4848100000000,43.0547500000000,-74.4839000000000
52,43.4247300000000,-73.7320900000000,43.4287800000000,-73.7398100000000
53,43.4249800000000,-74.4149600000000,43.4159200000000,-74.4142000000000
54,43.4273600000000,-74.4481000000000,43.4434700000000,-74.4500400000000
55,43.4332000000000,-74.4143300000000,43.4568400000000,-74.4151900000000
56,43.4449000000000,-74.4086000000000,43.4340700000000,-74.4074700000000
57,43.5106300000000,-74.5739300000000,43.5301400000000,-74.5716900000000
58,43.6564900000000,-76.0001900000000,43.6556600000000,-76.0115000000000
59,43.7341300000000,-74.2557700000000,43.7370100000000,-74.2830500000000
60,43.8756000000000,-74.4307600000000,43.9113200000000,-74.3743700000000
61,43.9538500000000,-75.1574800000000,43.9977400000000,-75.1614800000000
62,44.1606500000000,-73.8554500000000,44.1547000000000,-73.8594200000000
63,44.1901300000000,-74.8133600000000,44.1877200000000,-74.7971900000000
64,44.2865600000000,-74.6142900000000,44.2892300000000,-74.6020800000000
65,48.1103000000000,-121.491700000000,48.1420000000000,-121.473900000000
